,ID,1_num,1_score,1_mark,2_num,2_score,2_mark,3_num,3_score,3_mark,imp,group1,group2,group3,group4,imp_check
0,sm17961470,138.0,0.7990602470215918,1.0,351.0,0.8562449943209122,1.0,39.0,0.858475612468362,1.0,2,1,1,6,2,1
1,sm12419220,222.0,0.8494004649722044,1.0,336.0,0.8698485857480585,1.0,259.0,0.8755733721697344,1.0,0,7,0,1,2,1
2,sm5430176,448.0,0.550826868539974,1.0,252.0,0.6896236547665467,1.0,481.0,0.803534167088197,1.0,3,1,0,2,7,1
3,so15281450,217.0,0.9219899395373312,0.0,50.0,0.9576279979438194,1.0,143.0,0.9865054656336352,1.0,1,3,7,0,0,1
4,sm2069100,152.0,0.9318017080229224,0.0,36.0,1.0232783554696034,0.0,404.0,1.0252463003860106,1.0,1,1,9,0,0,1
5,so23867610,9.0,0.3803966396808496,1.0,55.0,0.4957051099939026,1.0,338.0,0.9498048689505972,1.0,1,3,4,3,0,1
6,sm19817730,42.0,0.8252332018630335,1.0,40.0,0.9851387603164748,1.0,181.0,1.0637756941404086,0.0,0,8,0,2,0,1
7,sm16601690,333.0,0.7847500935697507,1.0,328.0,0.8248854484281505,1.0,372.0,0.9568601161798184,1.0,0,0,0,0,0,0
8,sm17241370,118.0,1.0320892377886457,1.0,15.0,1.0396450917384528,0.0,89.0,1.0531336995710283,0.0,0,8,2,0,0,1
9,so27026038,5.0,0.3803966396808496,1.0,55.0,0.5026409406358642,1.0,162.0,0.9256615063838376,0.0,1,2,6,2,0,1
10,sm5600850,246.0,0.9535111845859218,0.0,444.0,0.9647812870178748,1.0,138.0,0.9901362318274516,0.0,2,1,1,6,2,1
11,sm24957940,166.0,0.8832993425277637,1.0,261.0,0.8856730285470108,1.0,468.0,0.8972379453042668,1.0,2,0,2,8,0,1
12,sm13722470,323.0,0.7551688944823975,1.0,45.0,0.7729482742663952,1.0,263.0,0.8682117124590403,1.0,0,6,3,0,1,1
13,sm10306280,402.0,0.7163837205068018,0.0,206.0,0.8381164136653478,0.0,326.0,0.9233011073800644,0.0,2,1,0,6,3,1
14,sm27137010,64.0,0.6289544630152704,1.0,447.0,0.8223348385290833,1.0,169.0,0.8283012436416578,1.0,0,10,0,0,0,1
15,sm24106810,106.0,0.5535926221801379,1.0,338.0,0.5659172280887211,1.0,31.0,0.8178565680462075,1.0,1,4,6,0,0,1
16,sm22887980,247.0,0.835472904288809,1.0,125.0,0.8490478463736729,1.0,136.0,0.9117499349429956,1.0,1,0,8,1,1,1
17,sm841041,337.0,0.8627277565935038,1.0,349.0,0.8705483608596594,1.0,77.0,0.8766912951211963,1.0,2,1,0,8,1,1
18,sm18682960,346.0,0.9475838504649552,1.0,402.0,0.9798920136289818,1.0,398.0,0.9875715622978216,1.0,1,3,5,2,0,1
19,sm5664150,495.0,0.7651112473777254,1.0,354.0,0.8029186885265206,1.0,498.0,0.8764875665506698,1.0,3,2,0,2,6,1
20,so21334230,74.0,0.5899813294326416,1.0,467.0,0.7527342171571637,1.0,223.0,0.8368687407124473,1.0,0,6,4,0,0,1
21,sm1842140,44.0,0.9289122457730165,1.0,25.0,1.0063728090513837,0.0,27.0,1.019688661243182,1.0,2,3,0,7,0,1
22,sm31978460,140.0,0.7500588213036595,1.0,440.0,0.8050959779994558,1.0,382.0,0.8079028935616518,1.0,0,6,2,1,1,1
23,sm20900240,33.0,0.6790438060971529,1.0,73.0,0.8180372715261865,1.0,478.0,0.8757300714436106,1.0,2,3,2,5,0,1
