,ID,title,category,tags,content,sim_rec1,sim_rec2,sim_rec3,emo0,emo1,emo2,emo3,emo_rec1,emo_rec2,emo_rec3,comb_rec1,comb_rec2,comb_rec3
0,sm17961470,【初音ミク】幸福な死を【オリジナル曲】,music_sound,DAM&AMP;JOY配信中 VOCALOID VOCALOID伝説入リ VOCALOID幻想狂気曲リンク キクオ ミクオリジナル曲 初音ミク 初音ミク名曲リンク 幸福ナ死ヲ,"きくお,幸福,鬱くしい,好き,地獄,天国,綺麗,歌詞,ミク,ダブステ,中毒,サビ,世界観,ダブステップ,心中,調教,gj,成功,幸せ,一時停止",sm10150980,sm16203010,sm19856000,0.2957113351962094,0.3174583890171303,0.2211152958328271,0.165714979953833,sm33260180,sm31680050,sm19028880,sm10150980,sm16203010,sm5430176
1,sm12419220,ポケモン廃人だが、言わせてほしい。,game,†シンジ† アニメ ゲーム ポケモン廃人 モコウ レジェンド実況者 最後マデ見ルベキ 神回,"シンジ,もこう,ポケモン,厳選,先生,廃人,ゾロア,ポカブ,つり,マジレス,孵化,うそなき,論破,釣り,ゲーム,野生,もこ,安定,ネタ,リモ",sm9297140,sm32392150,sm22610180,0.7003212482790271,0.0796466268930702,0.1242312987608995,0.0958008260670032,sm17673790,sm9297140,sm7427060,sm9297140,sm22610180,sm8891090
2,sm5430176,絵本『人柱アリス』手描きPV　【VOCALOID】,music_sound,KAITO MEIKO VOCALOID VOCALOID-PV殿堂入リ ボカロ5兄弟 ミンナノトラウマ 人柱アリス 人柱アリスPVリンク 初音ミク 鏡音リン 鏡音レン,"アリス,レン,不思議,番目,おk,リン,ミク,カイト,真っ赤,一時停止,メイコ,薔薇,kaito,ルカ,成功,双子,罪人,gj,女王,meiko",sm5483070,sm15108950,sm7415020,0.3818222420723537,0.2564091112103617,0.2211255024564537,0.1406431442608307,sm31808640,sm30964600,sm3207770,sm5483070,sm7415020,sm17961470
3,so15281450,「アイドルマスター」オープニング,anime,2011年夏アニメ 765PRO_ALLSTARS READY!! アイドルマスター アイドルマスター(アニメ) アニメ 中村繪里子 今井麻美 伝説ノ始マリ 踊ルアニメOPED 長谷川明子,"アイマス,ナンバーワン,うたプリ,美希,ここ,周年,公式,op,akb,ラブライブ,職人,みき,春香,なんば,すき,アイドル,ready,アニメ,雪歩,no",sm31791630,sm33086310,sm37601190,0.4768554840734348,0.3328102934253883,0.1463988702337988,0.043935352267378,sm24432950,sm30786580,sm28104000,sm24326780,sm31791630,so23867610
4,sm2069100,θ波潜在能力開発（ヒーリング系作業用BGM),music_sound,Θ波 アニメ色ノナイ作業用BGM ニコニコ自習室 ヒーリング 作業用BGM 受験生支援BGM 潜在能力開発 音楽,"勉強,テスト,明日,集中,休憩,数学,レポート,時間,今日,みんな,英語,あと,課題,徹夜,風呂,がんばろう,ページ,仮眠,ノシ,作業",sm2406770,sm18393920,sm10889370,0.3335379436446808,0.1317263832343901,0.3942594878090573,0.1404761853118716,sm16881350,sm39379690,sm20593300,sm18393920,sm2406770,sm39379690
5,so23867610,【試聴動画】ラブライブ！μ’s →NEXT LoveLive!2014 〜ENDLESS PARADE〜 0209 Blu-ray&DVD,music_sound,MUSIC_S.T.A.R.T!! Μ'S Μ'S_→NEXT_LOVELIVE!_2014 Μ’S アニソン ライブ ラブライブ! ラブライブ!2期アニマックスニテ放送開始9/10㈮~ 声優 声優ライブ 音楽,"くっすん,えみつん,うっちー,りっぴー,ジョルノ,みもりん,bibi,ラブライブ,宮田,ライバー,衣装,th,しかこ,ちゃん,pile,ライブ,ことり,ダンス,野菜,スノハレ",so27026038,so20811229,sm22230060,0.4025408893112589,0.3528735057270044,0.1935677487120492,0.0510178562496873,so20811229,sm16814250,sm6580450,so27026038,so20811229,sm9874560
6,sm19817730,２分半でわかるジョジョの奇妙な冒険 第一部,anime,〇分デワカルジョジョシリーズ アニメ ジョジョMAD ジョジョ〜ソノ血ノ運命〜 ジョジョノ奇妙ナ冒険 ジョジョノ奇妙ナ冒険(アニメ) 原点ニシテ頂点 邪ナサン,"波紋,ジョジョ,ディオ,ジョナサン,スピードワゴン,ナイフ,石仮面,紳士,疾走,スト様,ナサン,着地,説得,爆発,解説,イギリス,罪悪感,ワサビ,ダイアー,天国",sm19650590,sm20540100,sm16024389,0.6426603157107428,0.0467070818407274,0.2113923552336338,0.0992402472148958,sm29445580,sm27721038,sm15878480,sm19650590,sm8157950,sm20540100
7,sm16601690,【Fate】全サーヴァント集 Part1,anime,FATE FATE/HOLLOW_ATARAXIA FATE/STAY_NIGHT FATE/ZERO アニメ,"幸運,セイバー,ギル,マスター,ランサー,士郎,魔力,エミヤ,チート,サーヴァント,ライダー,ステ,バーサーカー,うんこ,ハサン,ランク,英霊,最強,キャスター,ステータス",sm12294250,sm24644910,sm26325360,0.4927436372249257,0.1110201972352611,0.3088583609663666,0.0873778045734464,sm23261650,sm32392150,sm30273018,sm12294250,sm24644910,sm26325360
8,sm17241370,文学少女の日常（1～10話まとめ）,anime,アニメ デモ少シ・・・コノ風・・・泣イテイマス ヤッサン 今日ハ風ガ騒ガシイナ 文学少女(男子高校生ノ日常) 日笠陽子 杉田智和 河原ノ妖怪 男子高校生ノ日常,"日笠,クニ,かお,きた,上着,ポテト,タダ,いかん,ゃひ,ぇっ,杉田,半額,はふ,文學,ヒデ,文学少女,カァァ,むふ,人違い,げんちょ",sm9063970,sm24106810,sm22001720,0.7499945563418617,0.0545236799129014,0.1000653238976592,0.0954164398475775,sm16620130,sm17629610,sm5408420,sm13985710,sm9063970,sm736760
9,so27026038,【試聴動画】ラブライブ！μ’s Go→Go! LoveLive! 2015～Dream Sensation!～ Blu-ray/DVD Day1,music_sound,アニソン ラブライブ! 音楽,"えみつん,うっちー,衣装,くっすん,りっぴー,コール,みもりん,ジョルノ,ちゃん,ライブ,th,キラセン,日目,きた,宮田,ぱい,スノハレ,昭和,pile,bibi",so23867610,so20811229,sm24326780,0.368875458666091,0.3470753291603712,0.2304122598748111,0.0536369522987265,sm31159377,sm18257340,sm10601340,so23867610,so20811229,sm31159377
